IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
102,9.41,9.33,5,0,0,4,3,No
73,6.52,6.47,8,0,8,4,2,No
106,8.27,8.68,2,1,6,1,4,No
84,7.44,7.04,5,1,10,6,1,No
79,6.83,6.61,7,0,7,6,0,No
77,8.23,8.27,9,0,2,7,3,No
116,9.74,9.94,10,0,0,9,4,Yes
90,5.21,5.34,1,0,3,10,4,No
123,9.59,10.03,9,0,0,10,2,Yes
91,8.05,8.35,3,1,0,10,5,Yes
74,9.04,9.1,1,1,3,9,4,Yes
83,6.92,6.63,7,0,7,5,2,No
118,7.36,7.31,3,0,0,2,0,No
97,9.34,9.53,8,0,9,1,3,No
91,7.07,7.41,2,0,9,2,0,No
102,7.67,8.13,4,0,8,2,5,No
107,5.1,5.21,2,0,5,1,2,No
116,5.79,5.82,4,1,4,8,0,No
121,8.21,7.73,1,0,8,3,3,No
94,8.58,8.15,10,1,8,10,3,Yes
80,7.91,7.57,5,0,8,10,4,No
93,5.72,5.27,3,1,2,8,5,No
103,7.23,7.13,9,0,7,6,2,No
85,6.78,6.62,4,0,9,1,0,No
85,7.48,7.62,6,0,3,7,4,No
105,9.35,9.39,9,1,3,3,4,No
99,8.88,8.98,2,1,6,9,0,No
100,5.42,5.39,7,1,7,9,2,No
88,9.45,9.23,3,0,3,4,2,No
96,7.36,7.81,1,0,10,2,5,No
86,8.72,8.31,9,0,9,10,3,Yes
113,5.7,6.14,9,1,5,9,2,Yes
115,8.35,8.16,4,0,0,5,4,Yes
72,6.18,6.19,9,1,1,8,3,No
86,7.19,6.8,7,1,4,9,1,No
77,5.08,4.65,4,1,3,1,3,No
90,5.76,5.69,2,1,2,3,4,No
98,5.46,5.7,5,1,10,7,5,No
78,6.2,5.97,8,0,5,2,0,No
86,5.5,5.56,10,1,9,4,0,No
84,8.46,8.24,10,1,5,4,5,No
103,5.15,5.04,6,1,10,7,5,No
101,8.09,8.5,5,0,9,2,0,No
89,5.7,6.06,4,1,7,8,4,No
102,9.73,9.75,6,0,1,8,5,Yes
91,9.67,9.41,3,1,6,6,3,No
95,6.13,5.82,2,0,6,4,0,No
125,8.07,8.52,1,0,1,2,2,Yes
120,5.14,4.84,9,0,5,3,1,No
80,9.66,9.97,1,0,4,3,0,No
112,7.61,7.48,4,0,1,3,5,No
112,5.22,5.71,6,0,8,4,0,No
82,6.71,6.58,9,0,7,7,1,No
112,5.38,5.23,4,0,6,9,2,Yes
123,6.96,7.1,7,0,5,10,1,No
83,8.35,8.81,7,0,4,4,0,No
86,7.35,7.83,6,1,8,7,0,No
115,6.92,7.13,9,0,4,10,3,Yes
104,5.6,5.85,10,0,5,6,5,No
108,6.22,6.28,7,0,2,10,4,No
105,5.5,5.76,3,0,8,9,3,No
105,9.04,9.4,6,0,10,8,3,Yes
80,5.68,5.67,7,0,7,2,3,No
115,7.98,8.1,7,0,8,3,3,Yes
117,6.71,6.75,6,0,0,6,3,No
96,6.13,6.19,3,0,0,5,2,No
99,8.2,8.59,6,0,1,2,5,No
77,7.29,7.15,2,0,3,2,4,No
107,7.0,6.71,10,1,9,5,4,No
108,7.96,7.92,1,1,4,5,5,No
99,7.46,7.17,8,1,6,1,4,No
116,6.52,6.52,3,0,3,10,2,Yes
94,7.8,8.2,8,0,0,3,2,No
108,8.35,8.47,3,0,7,9,5,Yes
84,5.13,5.49,2,1,10,10,2,No
99,7.33,7.0,8,1,2,3,0,No
97,5.29,5.69,3,1,8,6,4,No
103,5.93,6.03,8,1,1,6,1,No
94,7.8,7.33,2,0,10,2,3,No
98,9.33,9.46,4,0,0,7,0,No
112,9.41,9.86,9,0,9,9,0,Yes
93,5.35,4.93,1,0,7,9,3,No
75,7.1,7.18,2,0,2,8,0,No
126,7.92,8.34,2,1,0,5,2,Yes
120,5.74,5.25,9,0,10,8,0,No
80,8.83,8.96,10,0,2,9,4,Yes
110,8.72,8.69,5,0,7,1,4,No
92,9.52,9.37,4,0,10,1,5,No
103,5.04,5.17,10,1,3,5,5,No
104,6.08,5.63,10,0,9,7,1,No
96,9.14,9.39,4,1,10,9,4,Yes
88,8.35,7.85,7,0,6,9,3,No
89,9.47,9.28,3,0,7,3,3,No
86,5.29,5.29,9,1,6,1,4,No
87,7.98,7.86,5,1,0,3,2,No
98,7.85,7.66,9,0,3,8,4,No
89,5.18,5.51,1,0,9,7,2,No
110,7.57,8.0,10,0,8,5,5,No
122,8.05,8.42,8,0,6,10,3,Yes
91,5.96,5.98,2,0,0,9,4,No
103,6.37,6.75,8,1,7,4,5,No
107,8.2,8.62,4,1,3,6,1,No
107,7.34,7.25,2,0,6,5,3,No
101,9.29,9.07,2,0,5,6,1,No
111,6.71,6.31,6,0,6,4,3,No
107,6.33,6.31,3,1,9,3,0,No
81,9.92,10.37,10,0,9,5,5,No
113,9.56,9.62,3,0,0,5,0,No
113,5.14,5.31,9,0,5,2,0,No
88,8.85,8.46,5,0,2,10,1,No
100,5.55,5.19,7,0,9,4,2,No
110,5.14,5.1,5,1,3,3,3,No
96,6.37,6.82,2,0,0,7,0,No
116,6.35,6.21,8,1,9,5,1,No
135,9.1,9.48,9,0,7,6,3,Yes
88,8.55,8.17,2,0,1,7,0,No
79,9.91,10.03,2,0,2,2,0,No
104,8.56,8.66,4,0,6,10,0,No
110,7.09,7.45,8,0,1,4,1,No
96,8.49,7.99,5,0,3,6,2,No
121,10.0,9.69,5,0,6,3,5,Yes
79,8.55,8.27,7,1,2,6,5,No
110,8.81,9.26,4,1,1,10,0,No
90,9.69,9.34,9,0,7,1,0,No
125,5.57,5.11,4,1,1,8,2,Yes
129,8.52,8.55,8,1,9,10,5,Yes
88,9.25,9.28,3,0,6,5,2,No
91,9.77,10.11,6,0,10,1,4,No
112,6.05,6.5,1,0,2,10,0,No
94,7.52,7.56,7,0,3,10,5,No
99,8.4,8.83,7,1,5,1,3,No
100,6.24,6.47,2,0,10,10,4,No
71,8.0,7.76,5,0,2,3,3,No
99,6.29,6.72,4,1,0,6,2,No
89,6.67,6.84,10,0,7,2,5,No
92,7.21,7.12,9,0,3,8,4,No
121,7.65,7.83,2,0,0,10,1,No
81,7.25,7.15,3,0,1,7,4,No
112,7.47,7.08,1,0,5,2,4,No
95,6.49,6.71,10,0,0,1,2,No
95,5.79,6.11,5,1,8,7,0,No
111,5.24,5.47,3,0,6,7,2,No
105,5.98,5.71,4,1,7,3,2,No
108,7.91,8.37,4,0,7,10,2,Yes
114,8.93,8.46,6,0,5,8,3,Yes
95,5.85,5.68,10,0,7,8,5,No
90,5.54,5.3,7,0,6,5,1,No
83,8.75,8.3,7,1,0,7,3,No
87,6.53,6.44,8,0,2,3,4,No
118,8.57,8.95,5,1,7,3,5,Yes
79,6.63,7.12,10,0,4,9,0,No
80,6.45,6.76,6,0,0,7,2,No
107,7.62,7.59,6,0,1,1,3,No
108,5.4,5.62,8,1,9,8,5,No
108,5.59,5.93,5,0,9,9,1,No
96,5.88,5.85,5,1,8,10,3,No
98,8.87,9.16,1,1,9,2,2,No
104,7.57,7.55,1,0,7,1,5,No
101,5.05,4.94,6,1,8,4,1,No
66,8.37,8.4,10,1,1,9,0,No
96,7.12,7.3,10,0,2,6,3,No
87,7.55,7.78,5,1,2,10,5,No
102,6.07,5.93,10,1,0,8,3,No
105,9.9,10.31,9,0,9,5,4,No
95,5.37,5.85,8,0,4,5,5,No
113,6.42,6.15,7,1,6,6,1,No
107,6.21,5.9,7,0,5,6,3,No
106,6.24,6.42,6,0,1,5,4,No
109,6.89,6.8,6,1,7,8,0,No
130,9.09,8.61,1,0,3,3,5,Yes
83,9.56,9.41,7,0,10,9,3,Yes
107,6.01,6.32,5,0,1,5,3,No
86,7.71,8.01,7,0,3,9,2,Yes
108,8.18,8.17,6,0,7,5,3,No
86,7.61,7.58,8,0,0,3,0,No
93,7.17,7.25,3,1,10,9,5,No
95,5.96,5.68,8,1,8,2,4,No
114,7.44,7.47,7,0,7,5,5,No
113,7.01,6.52,1,0,7,3,1,No
81,8.98,8.96,3,0,9,7,0,No
100,8.82,8.66,10,1,8,4,1,No
89,5.67,5.84,4,0,6,8,0,No
81,5.44,5.58,9,1,10,1,5,No
96,9.54,9.42,6,0,8,5,5,No
95,7.68,7.19,7,0,0,8,4,No
136,9.29,9.04,5,0,0,2,2,Yes
106,5.29,5.42,3,1,3,6,4,No
79,7.63,7.2,5,1,1,7,5,No
91,7.7,7.31,7,0,7,6,1,No
115,9.3,9.45,9,0,0,10,1,Yes
131,5.49,5.75,9,1,3,3,5,No
76,6.2,6.02,8,0,10,6,3,No
71,7.03,7.02,5,0,10,7,5,No
128,9.33,9.78,7,1,8,3,2,Yes
105,9.69,10.14,4,1,1,10,4,Yes
86,9.96,9.77,10,0,5,2,5,No
108,9.8,10.11,5,1,3,3,4,No
60,5.03,5.12,4,1,3,1,1,No
100,5.24,5.72,3,0,5,7,2,No
104,5.74,5.72,1,0,9,4,4,No
113,6.74,7.01,5,0,3,3,2,No
84,9.15,9.42,2,1,8,6,2,No
101,9.46,9.46,6,0,7,3,4,No
86,5.93,6.23,5,0,7,10,5,No
103,8.1,7.86,2,1,4,3,2,No
86,9.59,9.21,8,0,5,9,5,Yes
93,7.32,7.25,5,0,0,2,0,No
85,5.52,5.96,2,1,0,5,1,No
109,7.29,7.29,1,1,8,10,2,No
112,6.88,7.02,2,0,3,10,2,Yes
96,7.89,8.01,1,1,2,2,0,No
100,7.19,6.82,10,0,4,6,3,No
78,5.09,4.98,10,0,8,4,2,No
95,9.97,10.18,3,0,8,7,4,No
99,7.72,8.19,3,1,2,1,5,No
139,7.37,7.04,10,0,6,8,5,Yes
83,9.77,9.68,1,0,2,2,3,No
121,5.78,5.38,7,1,2,4,5,No
114,5.95,5.69,10,0,3,7,5,No
104,9.04,8.92,7,0,1,8,5,Yes
126,6.3,6.34,9,1,5,9,3,Yes
105,9.0,8.73,5,1,4,5,0,No
105,6.36,6.09,4,1,9,9,4,No
99,5.17,5.45,5,0,9,9,5,No
118,7.59,8.05,8,0,1,3,3,Yes
116,5.98,5.8,8,1,9,7,2,No
90,8.79,8.98,4,0,1,8,0,No
80,8.21,7.97,8,1,1,1,0,No
96,9.62,10.05,4,0,3,10,0,No
87,8.91,9.08,4,1,2,5,5,No
99,5.9,6.2,8,1,8,1,1,No
118,9.0,8.55,2,0,4,3,3,Yes
93,8.21,8.31,4,0,0,2,5,No
99,8.34,8.37,1,0,1,2,4,No
100,9.16,8.95,1,0,6,4,4,No
112,7.87,7.63,8,0,7,5,1,No
66,7.33,7.41,4,0,5,1,5,No
90,8.18,8.39,6,1,6,6,2,No
103,6.49,6.02,5,0,1,5,3,No
118,5.91,5.98,10,1,5,4,0,No
92,8.08,7.75,6,1,5,6,1,No
71,6.17,5.81,4,0,3,2,1,No
109,5.4,5.52,4,0,10,8,3,No
90,5.0,4.81,7,0,3,6,4,No
82,8.04,7.98,1,0,1,3,5,No
90,6.81,6.67,9,1,2,4,3,No
97,8.76,8.91,10,0,9,2,4,No
90,6.88,6.85,3,0,5,4,3,No
66,7.43,7.89,4,0,3,9,4,No
113,7.04,6.89,9,0,2,4,5,No
119,8.25,8.49,5,0,0,8,1,Yes
109,6.78,6.54,4,0,10,3,4,No
82,9.82,9.83,6,1,10,5,3,No
96,9.68,9.73,1,0,10,2,2,No
99,9.24,9.07,10,0,2,9,3,Yes
108,9.6,9.57,1,0,0,9,1,No
110,7.25,7.03,5,1,3,10,4,No
88,7.68,7.19,5,0,3,7,4,No
101,8.71,8.43,9,0,10,2,4,No
106,8.48,8.68,1,0,0,4,1,No
121,9.45,9.72,3,0,6,6,5,Yes
110,8.58,8.36,3,0,4,9,3,Yes
111,9.99,9.9,4,0,0,6,4,Yes
101,6.74,6.28,7,1,4,4,2,No
121,9.16,8.9,7,1,6,1,5,Yes
106,8.49,8.77,10,0,5,7,2,No
87,8.46,8.57,5,1,9,7,0,No
121,6.63,6.34,9,0,4,6,2,No
110,8.93,8.69,7,1,7,3,0,No
93,9.5,9.82,2,1,8,5,4,No
92,6.09,5.8,3,1,0,7,1,No
104,8.13,7.96,7,0,5,6,1,No
106,6.96,7.12,5,0,1,7,1,No
102,9.95,10.01,7,0,7,5,4,No
104,7.39,7.35,9,0,4,1,4,No
125,6.14,6.54,9,0,0,10,3,Yes
116,6.91,6.63,3,1,4,5,5,No
102,8.27,8.51,8,1,9,2,2,No
114,5.38,5.04,6,0,4,10,4,Yes
84,8.02,8.14,4,0,1,10,2,Yes
105,9.66,10.03,4,0,3,2,1,No
127,9.25,9.21,4,0,5,4,2,Yes
96,5.34,5.56,7,1,0,6,3,No
87,9.97,10.29,6,1,10,5,1,No
90,8.49,8.13,2,0,8,7,2,No
83,5.81,6.02,5,1,6,10,3,No
88,5.06,5.48,5,1,5,8,5,No
94,5.86,5.94,6,1,0,10,2,No
78,9.19,8.88,7,0,7,1,3,No
100,5.11,4.74,8,1,7,8,2,No
113,6.17,5.93,10,1,3,3,1,No
86,8.79,8.39,8,0,3,10,1,No
122,7.93,7.94,5,1,0,10,0,No
107,8.91,8.48,2,1,8,2,3,No
115,8.73,8.45,10,1,7,2,2,Yes
90,5.25,5.19,8,1,9,5,5,No
112,9.46,9.43,6,0,6,2,2,Yes
83,6.14,6.21,3,1,1,4,2,No
113,7.77,7.98,4,0,6,3,4,No
102,8.22,7.77,1,1,3,8,3,No
108,5.84,5.42,3,0,2,9,2,No
82,9.88,9.44,4,0,10,6,0,No
86,7.44,7.36,2,0,9,4,1,No
108,5.29,4.83,6,0,3,2,4,No
85,9.69,9.94,8,1,9,8,4,Yes
106,7.93,7.65,6,0,5,3,1,No
79,8.5,8.94,10,0,6,2,5,No
112,7.63,7.62,3,0,1,4,5,No
81,9.17,9.12,9,1,6,2,4,No
108,5.17,5.45,4,1,9,3,0,No
109,6.34,6.55,6,0,1,9,0,No
89,7.35,7.46,4,0,10,7,1,No
108,5.38,5.82,4,0,1,1,3,No
103,8.53,8.45,2,0,0,10,5,Yes
91,6.97,7.28,10,1,10,5,4,No
84,6.36,6.24,2,0,6,5,2,No
70,5.02,5.36,2,0,0,9,5,No
105,8.6,8.36,2,0,2,1,2,No
76,9.17,8.96,8,1,10,1,0,No
101,6.98,7.16,10,0,7,10,3,No
96,7.82,7.53,4,1,0,7,3,No
110,6.14,5.87,4,0,5,7,5,No
95,8.11,7.92,10,0,1,8,4,No
95,5.06,5.24,10,0,8,4,5,No
110,7.44,7.83,3,0,1,7,4,No
105,8.22,8.39,5,0,5,6,1,No
104,9.59,9.92,4,0,3,1,0,No
107,6.91,6.95,7,1,8,2,1,No
76,8.83,8.4,10,0,0,8,1,No
111,7.99,7.59,7,0,0,6,3,No
109,9.64,9.69,6,1,9,7,4,No
84,6.99,6.82,7,0,2,8,2,No
96,6.6,6.32,7,1,10,5,1,No
99,9.44,9.41,8,1,5,5,0,No
97,5.25,5.42,1,1,2,2,1,No
105,5.68,5.56,3,0,6,4,2,No
121,5.41,5.71,3,0,8,2,2,No
116,9.22,9.46,5,0,9,7,0,No
80,5.05,5.28,10,1,1,9,5,No
109,9.31,9.8,7,1,3,2,2,No
119,7.26,7.06,10,0,2,4,2,No
105,5.02,5.16,6,1,5,8,5,No
116,7.01,7.37,4,0,4,9,2,Yes
130,5.93,6.01,6,0,2,4,1,No
115,8.12,8.41,7,0,8,8,0,Yes
103,8.4,8.31,4,0,7,7,1,No
115,7.44,7.53,8,1,2,5,5,No
102,5.2,4.76,5,0,9,4,0,No
100,8.28,8.77,3,1,4,6,2,No
94,9.21,9.51,2,0,4,6,2,No
123,8.6,8.97,1,0,4,2,4,Yes
87,9.15,9.34,4,0,7,3,2,No
122,6.0,5.69,2,1,2,6,0,No
107,9.44,8.97,3,0,2,4,3,No
79,6.61,6.97,1,0,7,3,0,No
105,5.07,4.97,6,0,8,4,2,No
68,9.22,8.98,4,0,4,6,2,No
109,9.71,9.77,5,0,9,3,3,No
113,8.28,8.2,8,0,7,1,2,Yes
91,6.16,6.31,4,0,4,6,4,No
101,6.26,6.24,6,0,3,2,3,No
129,7.33,7.53,3,0,1,9,1,No
92,9.49,9.84,8,0,10,6,5,No
84,5.75,5.45,3,1,3,1,4,No
122,9.13,8.96,7,0,1,4,0,No
129,6.46,6.4,7,0,6,5,5,No
100,9.04,9.5,3,1,6,8,5,Yes
115,9.6,9.47,3,1,8,3,4,Yes
120,7.14,7.02,10,0,3,9,4,Yes
88,6.83,6.98,10,0,4,9,2,No
92,9.01,8.93,8,1,10,10,1,No
118,7.65,8.1,3,0,3,5,3,Yes
125,8.42,8.81,2,0,3,4,5,Yes
108,8.11,8.12,5,1,4,7,4,No
86,5.76,5.9,7,1,2,9,5,No
129,9.22,8.78,8,0,8,6,2,Yes
92,5.98,6.18,1,1,6,7,4,No
94,9.66,9.87,2,1,0,1,1,No
105,6.25,6.11,7,1,0,4,3,No
123,8.67,8.39,9,1,0,2,2,Yes
112,6.42,6.84,3,1,2,1,4,No
106,6.59,6.52,8,1,8,7,1,No
106,6.55,6.7,10,0,7,10,0,No
100,8.74,8.27,3,0,8,4,0,No
108,7.78,7.69,4,1,4,2,1,No
62,9.41,9.73,2,0,6,5,5,No
95,6.54,6.43,9,1,9,7,3,No
103,8.46,8.56,5,0,8,2,4,No
82,8.76,8.47,5,1,4,7,4,No
105,5.76,5.68,4,0,7,3,1,No
96,7.0,7.43,5,1,7,8,4,No
126,7.41,7.48,1,0,2,7,3,No
123,6.78,7.18,10,1,4,1,1,No
93,6.61,7.01,10,1,7,9,5,No
97,8.43,8.87,6,0,9,6,0,No
98,6.08,6.48,4,0,2,4,0,No
93,8.55,8.05,4,0,2,6,2,No
102,9.68,10.11,5,0,5,2,5,No
88,7.83,7.47,1,1,6,2,5,No
83,8.06,7.6,4,0,6,8,0,No
109,5.34,4.9,10,0,5,10,4,No
109,9.32,9.17,3,1,6,5,3,No
87,6.43,6.55,5,0,6,7,3,No
113,8.08,7.98,10,0,3,1,2,No
90,9.9,9.43,5,1,7,6,5,No
103,7.98,7.96,8,1,7,10,4,No
112,8.62,8.56,1,1,1,7,5,Yes
99,7.23,7.49,3,0,9,10,1,No
106,5.3,5.08,5,0,4,7,2,No
92,8.99,8.71,3,0,1,10,4,Yes
97,5.17,4.93,6,0,2,3,1,No
96,8.5,8.3,10,1,2,9,0,No
88,5.11,5.21,3,1,4,9,0,No
97,9.31,9.28,6,0,7,5,1,No
76,5.79,5.63,8,0,2,9,2,No
92,7.57,7.44,4,1,6,7,1,No
95,7.99,7.86,8,1,4,7,5,No
96,7.29,7.76,7,1,9,9,4,No
96,6.7,6.43,4,1,9,2,5,No
99,7.34,7.66,3,1,9,10,5,No
107,6.56,6.77,5,1,3,5,1,No
113,7.19,6.7,5,1,1,8,4,Yes
90,6.79,7.28,7,0,5,8,4,No
81,7.83,8.09,1,0,3,3,0,No
84,6.19,6.37,9,0,3,5,4,No
92,9.94,9.85,2,0,4,4,3,No
94,7.5,7.56,9,0,8,4,5,No
88,5.97,5.72,9,0,0,2,0,No
80,7.39,6.93,3,1,4,6,5,No
93,9.33,9.67,7,0,4,1,0,No
102,5.11,5.51,3,1,1,8,1,No
108,8.4,8.06,8,1,2,10,4,Yes
91,7.74,8.03,8,0,3,9,5,Yes
93,5.85,6.09,3,1,0,5,1,No
86,9.09,8.77,5,0,9,6,4,No
99,6.84,6.76,7,0,2,1,0,No
87,6.47,6.39,1,1,0,6,3,No
108,9.14,9.4,3,1,0,1,5,No
73,8.19,8.53,1,1,8,5,0,No
94,9.49,9.08,2,0,3,9,2,Yes
104,8.15,8.21,7,1,3,5,1,No
102,8.7,8.96,7,0,3,3,3,No
140,9.18,9.47,3,1,10,4,1,No
105,5.27,4.92,6,1,8,3,4,No
84,8.88,8.91,6,0,10,4,1,No
98,8.07,8.43,2,0,7,10,0,No
73,5.35,5.17,9,0,3,6,0,No
98,7.54,7.47,8,0,5,3,1,No
87,5.41,5.71,2,0,1,5,4,No
113,8.68,8.27,4,0,5,7,4,Yes
91,7.73,8.09,9,0,0,1,3,No
98,9.77,9.58,4,0,4,3,0,No
90,5.92,5.42,7,0,7,6,1,No
126,8.03,7.76,5,0,0,10,3,Yes
95,6.06,5.65,10,1,10,2,2,No
127,8.07,7.66,6,0,1,8,3,Yes
112,8.61,8.8,1,1,2,7,5,Yes
107,8.61,8.32,4,1,6,2,2,No
105,9.08,9.51,5,0,7,5,2,No
105,9.27,9.29,6,1,3,4,3,No
71,5.39,5.35,6,0,7,2,0,No
95,6.72,6.65,5,1,0,4,3,No
112,8.44,8.63,3,0,2,9,3,Yes
99,7.49,7.44,2,0,3,10,5,No
78,5.95,5.58,7,0,4,2,0,No
99,7.76,8.14,1,0,10,10,0,No
125,7.04,6.97,5,1,8,10,5,Yes
118,6.95,6.52,4,0,1,6,0,No
99,9.05,9.08,7,1,6,4,0,No
114,7.04,7.19,2,1,2,8,5,Yes
94,5.13,4.91,8,0,9,4,0,No
74,5.29,5.59,9,0,1,9,5,No
86,9.28,9.45,10,1,8,10,0,No
123,9.8,9.95,1,0,2,3,3,Yes
95,8.44,8.36,5,0,7,7,5,No
96,6.82,7.28,4,0,0,5,1,No
95,9.69,9.46,5,1,4,1,1,No
128,8.31,8.39,9,0,4,3,1,No
124,9.22,9.03,3,0,5,9,3,Yes
133,8.83,9.07,1,1,6,9,0,Yes
97,6.9,6.45,3,1,2,5,2,No
104,7.39,6.94,4,0,4,5,0,No
77,5.93,6.24,2,0,7,4,4,No
122,6.46,6.39,1,0,5,4,0,No
82,8.89,8.73,1,0,1,4,5,No
103,9.47,9.58,8,0,6,2,5,No
83,8.62,8.82,4,0,2,7,1,No
91,7.33,7.03,2,0,9,3,0,No
87,5.43,5.12,10,1,8,1,0,No
90,5.28,5.74,3,1,3,10,5,No
91,6.87,6.96,8,0,10,3,4,No
91,7.32,7.21,6,0,3,9,2,No
112,8.05,8.35,8,0,3,9,2,Yes
83,5.03,5.06,10,0,9,10,1,No
103,9.95,9.69,5,1,9,7,5,No
118,6.82,6.53,3,1,7,1,2,No
92,9.24,9.14,6,0,0,6,1,No
89,7.67,8.03,10,1,2,10,3,Yes
96,5.65,5.21,8,0,7,1,4,No
117,8.99,8.71,5,0,6,2,0,No
102,8.55,8.94,5,1,5,3,4,No
92,7.64,7.26,3,1,6,6,2,No
107,7.57,7.7,3,0,0,7,5,No
83,5.44,5.15,8,1,7,8,0,No
110,8.28,8.39,1,0,3,9,4,Yes
106,9.56,9.44,4,0,0,7,4,No
95,5.47,5.07,9,1,3,6,5,No
87,6.32,6.4,6,0,1,5,5,No
86,9.51,9.69,6,0,4,10,1,No
108,6.42,6.6,10,0,0,2,5,No
118,8.27,8.41,7,0,0,8,5,Yes
90,7.67,7.67,7,1,4,5,5,No
106,7.98,8.0,6,0,1,10,3,No
68,7.08,7.22,9,1,8,2,4,No
91,6.5,6.69,8,0,9,3,5,No
99,5.24,5.39,8,1,6,10,0,No
86,8.72,8.81,2,1,3,10,3,Yes
85,8.73,8.39,7,0,6,7,3,No
89,8.35,8.06,1,1,7,10,5,Yes
104,8.22,7.98,10,0,7,8,0,No
97,6.22,6.64,8,0,7,5,3,No
66,5.11,5.37,3,0,4,10,2,No
68,9.04,9.09,9,0,6,8,3,Yes
90,7.46,7.21,5,1,10,10,1,No
106,6.53,6.14,7,0,6,10,3,No
58,5.51,5.91,7,0,1,6,4,No
92,5.31,5.7,9,1,2,2,5,No
92,6.74,6.35,2,1,10,2,3,No
120,9.02,9.32,4,0,1,8,1,Yes
94,9.59,9.54,8,1,2,4,1,No
105,9.48,9.3,5,0,8,8,5,Yes
102,9.6,9.84,5,1,6,9,3,Yes
68,9.54,9.65,3,0,3,6,2,No
111,7.64,7.92,5,1,7,9,3,Yes
103,6.1,5.67,7,0,6,6,0,No
107,8.99,8.81,4,1,9,3,1,No
68,6.34,6.17,6,1,3,1,2,No
125,6.17,6.17,6,0,4,6,2,No
95,7.57,7.35,6,1,9,3,2,No
104,6.61,6.55,4,0,7,10,4,No
99,5.77,5.64,3,0,2,10,4,No
93,7.27,7.51,10,1,10,3,4,No
91,9.37,9.47,6,1,2,9,5,Yes
104,7.85,8.0,6,0,4,7,0,No
77,9.39,9.1,2,1,8,2,0,No
111,5.98,5.81,10,0,4,6,5,No
93,5.83,5.35,9,0,0,4,3,No
83,7.88,7.49,4,1,4,10,4,No
93,7.32,7.09,4,0,8,7,4,No
118,8.3,7.87,10,1,6,4,0,No
91,8.97,9.07,8,0,8,7,2,No
105,8.76,9.26,3,0,9,6,2,No
89,9.71,9.31,10,1,9,8,5,Yes
111,6.99,7.31,7,1,4,7,5,No
110,6.03,5.65,7,0,2,9,5,No
127,7.75,7.92,2,0,1,4,1,No
97,5.55,5.69,3,1,8,9,5,No
110,6.44,6.84,4,1,4,5,3,No
101,6.04,5.65,2,1,10,9,3,No
119,6.98,6.8,9,0,0,4,4,No
89,5.56,5.15,10,1,1,3,0,No
111,5.16,5.07,6,0,1,7,3,No
97,8.28,8.69,1,1,3,4,2,No
99,8.05,8.33,1,0,5,5,0,No
101,8.54,8.76,8,1,7,3,4,No
103,8.3,8.33,6,1,2,6,5,No
98,5.57,5.95,10,0,9,4,4,No
103,6.46,6.41,7,1,9,1,3,No
123,5.65,5.3,6,1,5,2,3,No
114,9.21,9.55,2,0,3,8,5,Yes
113,8.73,8.51,3,1,7,4,1,No
93,6.01,5.56,8,1,8,10,5,No
86,6.71,6.34,4,1,8,2,5,No
114,9.83,9.94,8,0,5,4,3,Yes
113,7.97,8.08,3,1,1,7,3,Yes
122,9.01,8.77,2,1,1,2,2,Yes
90,6.32,6.55,7,1,9,6,2,No
96,6.05,6.32,1,0,8,1,0,No
75,8.92,9.34,3,0,4,3,3,No
94,8.43,8.51,2,0,6,9,3,Yes
114,8.4,8.68,5,0,5,5,4,Yes
93,7.76,8.01,2,0,8,8,2,Yes
109,7.82,7.58,10,0,4,1,4,No
97,8.68,8.49,5,0,7,4,3,No
104,6.35,6.33,3,1,3,3,2,No
82,6.76,6.28,9,1,6,10,3,No
101,9.36,9.16,10,0,8,9,1,No
97,7.73,7.34,8,0,8,3,4,No
75,8.51,8.14,5,0,7,1,2,No
118,10.0,9.96,10,1,9,5,2,Yes
111,7.18,7.41,7,0,0,10,3,Yes
107,7.14,7.47,2,0,9,3,3,No
122,9.21,9.26,3,1,6,2,0,No
85,9.03,9.0,2,0,4,3,0,No
126,8.66,8.54,10,0,4,5,4,Yes
113,7.32,7.01,1,0,6,5,2,No
96,6.62,6.27,3,0,10,10,3,No
117,8.04,8.33,4,0,9,8,4,Yes
83,9.38,9.35,9,0,3,4,2,No
87,9.42,9.71,2,0,0,2,3,No
90,5.54,5.74,9,1,5,8,0,No
92,7.14,6.83,1,1,0,8,2,No
84,7.32,7.33,9,0,10,10,3,No
118,9.89,9.83,6,0,0,8,4,Yes
96,8.39,8.31,8,0,7,1,4,No
105,7.04,7.08,3,0,3,9,1,No
91,5.13,5.61,8,0,4,4,2,No
72,7.83,8.14,9,1,9,4,4,No
104,5.48,5.88,7,0,9,8,2,No
71,9.17,8.7,4,0,0,8,4,Yes
98,8.76,8.4,6,1,9,6,2,No
79,7.3,6.88,6,1,6,4,2,No
129,7.15,6.91,2,0,10,3,2,No
113,9.49,9.43,2,1,1,5,1,No
101,6.44,6.58,5,0,5,8,0,No
118,6.25,6.25,1,0,8,7,5,No
87,9.7,10.1,5,1,1,8,2,Yes
108,9.05,9.49,10,1,5,1,0,No
102,9.1,8.76,3,0,4,4,5,No
103,5.98,6.33,3,1,1,9,0,No
119,5.72,5.7,8,1,8,6,0,No
110,5.13,5.08,3,1,1,10,4,No
104,6.19,6.47,3,1,0,8,3,No
